운동 동작,대분류,난이도,부위,도구,목적,설명,영상
경사 보조 가슴 위에 손 두고 윗몸일으키기 2,근력 /열린사슬운동 /능동,쉬움,복부,침대,근력,두 발을 앞으로 두고 등받이가 기울어진 곳에 몸을 기대 주세요. 양손을 가슴 위에 교차해 둔 다음다음 등받이에서 등을 떼어 올렸다가 제자리로 다시 내려주세요. 윗배에 힘이 들어오는 것을 느껴주세요. 골반이 움직이거나 턱이 천장으로 들리지 않도록 해주세요. 편한 호흡을 유지해 주세요. 허리에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2428/MG/87c27e883e42906e57420381e36b3527.mp4
경사 보조 목 뒤에 손 두고 윗몸일으키기,근력 /열린사슬운동 /능동,쉬움,복부,침대,근력,두 발을 앞으로 두고 등받이가 기울어진 곳에 몸을 기대 주세요. 양손을 목뒤로 두어 목을 받쳐 준 다음 등받이에서 등을 떼주세요. 윗배에 힘이 들어오는 것을 느껴주세요. 골반이 움직이거나 턱이 천장으로 들리지 않도록 해주세요. 편한 호흡을 유지해 주세요. 허리에 통증이 생기지 않아야 합니다. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2425/MG/14d20a450cad23df305893fbc73dfaa0.mp4
경사 보조 목 뒤에 손 두고 윗몸일으키기 2,근력 /열린사슬운동 /능동,쉬움,복부,침대,근력,두 발을 앞으로 두고 등받이가 기울어진 곳에 몸을 기대 주세요. 양손을 목뒤로 두어 목을 받쳐 준 다음 등받이에서 등을 떼어 올렸다가 제자리로 다시 내려주세요. 윗배에 힘이 들어오는 것을 느껴주세요. 골반이 움직이거나 턱이 천장으로 들리지 않도록 해주세요. 편한 호흡을 유지해 주세요. 허리에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2426/MG/4cae66986a46fe9eb3839808dd2acfd5.mp4
경사 보조 윗몸일으키기,근력 /열린사슬운동 /능동,쉬움,복부,침대,근력,두 발을 앞으로 두고 등받이가 기울어진 곳에 몸을 기대 주세요. 양 팔을 앞으로 나란히 뻗고 등받이에서 등을 떼주세요. 윗배에 힘이 들어오는 것을 느껴주세요. 골반이 움직이거나 턱이 천장으로 들리지 않도록 해주세요. 편한 호흡을 유지해 주세요. 허리에 통증이 생기지 않아야 합니다. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2423/MG/aab92f511b210c384cf1b3e82b09bff0.mp4
경사 보조 윗몸일으키기 2,근력 /열린사슬운동 /능동,쉬움,복부,침대,근력,두 발을 앞으로 두고 등받이가 기울어진 곳에 몸을 기대 주세요. 양 팔을 앞으로 나란히 뻗고 등받이에서 등을 띄웠다가 다시 돌아가세요. 윗배에 힘이 들어오는 것을 느껴주세요. 골반이 움직이거나 턱이 천장으로 들리지 않도록 해주세요. 편한 호흡을 유지해 주세요. 허리에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2424/MG/fd7a7560354d112e32c35cb068de095d.mp4
계단 앞으로 내려가기,기능적 운동 /열린사슬운동 /닫힌사슬운동 /능동,보통,고관절&골반|무릎,스텝박스,기능적 운동,계단 위에 서서 운동할 쪽 다리에 체중을 실어줍니다. 체중을 실은 다리의 무릎을 굽혀 반대쪽 발로 천천히 바닥을 짚은 뒤 굽힌 다리도 바닥으로 내려옵니다. 다시 운동할 다리를 뒤로 보내 계단에 두고 무릎을 펴서 다리를 들고 시작위치로 돌아갑니다. 동작 중 무릎과 발은 일직선을 유지 하도록 하고 상체는 바르게 세워주세요. 일정 횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/605/MG/ba5dfe0864be30323c954715dfa0b325.mp4
계단 오르내리기,기능적 운동 /열린사슬운동 /닫힌사슬운동 /능동,보통,고관절&골반|무릎,스텝박스,기능적 운동,계단을 앞에 두고 바르게 섭니다. 계단 위로 한쪽 다리를 올려주고 같은 다리로 다시 내려옵니다. 안전하다고 생각되는 속도로 올라갔다 내려갔다를 반복해 주세요. 팔도 같이 움직여 줍니다. 다리나 허리에 통증이 생기지 않도록 주의합니다. 심박 수를 올려야 할 때는 속도를 조금 올려줍니다. 일정 횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/608/MG/33409b4b05d6977b3422904e1b8c5d9e.mp4
계단 오르면서 양 팔 위로 뻗기,기능적 운동 /닫힌사슬운동 /능동,보통,고관절&골반|발목&발|무릎|복부|전신|어깨,스텝박스,기능적 운동,"계단을 앞에 두고 서서 운동할 다리를 계단 위에 올려주세요. 계단 위에 발로 바닥을 밀면서 반대 다리를 들어 올려주세요. 동시에 양 팔을 천장으로 뻗어주세요. 제자리로 돌아간 다음 반복해 주세요. 계단을 오를 때 엉덩이와 허벅지에 힘이 들어오고, 양 팔을 들 때 어깨와 등에 힘이 들어올 거예요. 코어에 힘을 주어 자세가 흐트러지거나 넘어지지 않도록 주의하세요. 관절에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/2293/MG/8bde906a9c2df01d1261b4a95b756da1.mp4
계단 오르면서 팔 위로 뻗기,기능적 운동 /닫힌사슬운동 /능동,보통,고관절&골반|발목&발|무릎|복부|전신|어깨,스텝박스,기능적 운동,"계단을 앞에 두고 서서 같은 방향의 다리를 계단 위에 올려주세요. 계단 위에 발로 바닥을 밀면서 반대 다리를 들어 올려주세요. 동시에 같은 쪽 손을 천장으로 뻗어주세요. 제자리로 돌아간 다음 반복해 주세요. 계단을 오를 때 엉덩이와 허벅지에 힘이 들어오고, 양 팔을 들 때 어깨와 등에 힘이 들어올 거예요. 코어에 힘을 주어 자세가 흐트러지거나 넘어지지 않도록 주의하세요. 관절에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/2295/MG/7d7076336552e1c90fa7ced0c83a3fd9.mp4
계단 위로 점프,기능적 운동 /열린사슬운동 /닫힌사슬운동 /능동,어려움,고관절&골반|무릎,스텝박스,기능적 운동,박스나 계단을 앞에 두고 서서 어깨너비로 양발을 벌린 자세로 시작합니다. 다리를 굽혀 몸을 살짝 숙였다가 바닥을 밀면서 무릎과 고관절을 펴 점프를 해 앞에 있는 박스로 착지해 주세요. 착지 시 무릎을 살짝 굽혔다 일어나 관절에 가는 충격을 줄여주세요. 동작 시 무릎이 모이지 않게 하시고 관절에 통증이 생기지 않게 주의하세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/699/MG/1f476e47b00b3fcccea2f4c794d2f8aa.mp4
계단 위로 점프 2,기능적 운동 /열린사슬운동 /닫힌사슬운동 /능동,어려움,고관절&골반|무릎,"탄력밴드|  
스텝박스",기능적 운동,박스나 계단을 앞에 두고 허벅지에 탄력밴드를 감고 서서 어깨너비로 양발을 벌린 자세로 시작합니다. 다리를 굽혀 몸을 살짝 숙였다가 바닥을 밀면서 무릎과 고관절을 펴 점프를 해 앞에 있는 박스로 착지해 주세요. 착지 시 무릎을 살짝 굽혔다 일어나 관절에 가는 충격을 줄여주세요. 동작 시 밴드는 계속 바깥으로 밀어 무릎이 모이지 않게 하시고 관절에 통증이 생기지 않게 주의하세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/700/MG/6b2a47284ef4c82690eb22083959963a.mp4
계단 위로 한 발 점프,기능적 운동 /열린사슬운동 /닫힌사슬운동 /능동,어려움,고관절&골반|무릎,스텝박스,기능적 운동,박스나 계단 앞에 선 다음 체중을 운동할 쪽으로 주고 한 발로 서 주세요. 다리를 굽혀 몸을 살짝 숙였다가 바닥을 밀면서 무릎과 고관절을 펴 점프를 해 앞에 있는 박스로 착지 후 반대 다리를 내려주세요. 착지 시 무릎을 살짝 굽혔다 일어나 관절에 가는 충격을 줄여주세요. 동작 시 무릎이 안쪽으로 모이지 않게 하시고 관절에 통증이 생기지 않게 주의하세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/701/MG/f133302d14f69665acbe2c9fa33fe8ec.mp4
계단 위에 뒤꿈치 올리기,균형 /닫힌사슬운동 /능동,보통,고관절&골반|무릎,스텝박스,균형,계단을 앞에 두고 다리를 골반 너비로 두고 섭니다. 운동할 다리로 체중을 옮기고 반대 발을 들어 뒤꿈치로 계단을 짚어주세요. 상체는 반듯이 세우고 지지하는 다리가 일직선을 유지하도록 하며 골반이 기울지 않도록 주의합니다. 일정 횟수 반복 후 천천히 다리를 내려 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/607/MG/b2bdc9c8337f2aac30db8614a155509d.mp4
계단 위에 발 올리기,균형 /닫힌사슬운동 /능동,보통,고관절&골반|무릎,스텝박스,균형,계단 뒤에서 다리를 골반 너비로 두고 섭니다. 운동할 다리로 체중을 옮기고 반대 발을 들어 발가락으로 계단을 짚어주세요. 상체는 반듯이 세우고 지지하는 다리가 일직선을 유지하도록 하며 골반이 기울지 않도록 주의합니다. 일정 횟수 반복 후 천천히 다리를 내려 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/606/MG/fb26ca818e8778eb09480811d1db54ea.mp4
계단에서 골반 올리기,근력 /닫힌사슬운동 /능동,보통,고관절&골반,스텝박스,근력,계단에 서서 운동할 다리는 두고 반대쪽 다리를 계단 바깥쪽으로 둡니다. 서 있는 다리는 편 상태로 반대쪽 다리를 내렸다 올려줍니다. 선 다리의 엉덩이 옆쪽 근육을 사용하는 동작으로 무릎을 굽혔다 펴는 것이 아닌 골반을 내렸다 올리는 느낌으로 해주셔야 합니다. 무릎이 과하게 펴지지 않도록 하고 상체는 바르게 세워서 유지해주세요. 일정횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/602/MG/971b3da5e77d999011a52c3d710c7351.mp4
계단에서 뒤로 다리 내리기,근력 /닫힌사슬운동 /능동,보통,무릎,스텝박스,근력,계단 위에 골반 너비로 다리를 두고 섭니다. 운동할 다리에 체중을 둔 뒤 무릎을 굽히고 상체를 앞으로 기울이면서 반대 발을 뒤로 내려줍니다. 발이 바닥에 닿을 때까지 내린 다음 굽혔던 다리를 펴면서 내린 다리를 올려줍니다. 뒤꿈치가 떨어지지 말아야 합니다. 골반이 기울거나 옆으로 빠지지 않도록 주의하고 무릎과 발은 일직선 상에 있게 합니다. 코어에 힘을 주어 상체의 자세가 흐트러지지 않도록 균형을 잡아주세요. 일정 횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/612/MG/ee6ded04193cf5b3c61b03247b9562c9.mp4
계단에서 앞으로 다리 내리기,근력 /닫힌사슬운동 /능동,보통,무릎,스텝박스,근력,계단 위에 바르게 선 자세에서 운동할 다리는 두고 반대 다리를 앞으로 뻗어주세요. 체중을 지지하고 있는 다리의 무릎을 굽히면서 내민 발의 뒤꿈치로 바닥을 짚었다 올라옵니다. 상체는 세워두고 무릎과 발이 일직선 상에 있을 수 있도록 합니다. 허벅지와 엉덩이의 힘으로 골반이 옆으로 빠지거나 기울지 않도록 해주세요. 일정 횟수 반복 후 다리를 올려 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/601/MG/427f084d58c62d910b3b520636707221.mp4
계단에서 옆으로 다리 내리기,균형 /닫힌사슬운동 /능동,보통,고관절&골반|무릎,"스텝박스|  
폼롤러",균형,계단이나 발판에 올라섭니다. 폼롤러를 앞에 두고 잡은 뒤 운동할 다리는 두고 반대 다리를 계단 바깥쪽으로 두세요. 서 있는 다리의 무릎을 굽혀 바깥쪽 다리를 내려줍니다. 무릎이 폼롤러에 닿는 곳까지 굽혔다가 다시 무릎을 펴 바깥쪽 다리를 올려줍니다. 서 있는 다리가 일직선을 유지하면서 허벅지의 힘이 들어 오는 것을 느끼며 동작을 반복하도록 합니다. 상체는 바르게 세워주세요. 일정횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/599/MG/f6c4c593b367a57c66e7d61b0293cfb7.mp4
계단에서 옆으로 다리 내리기 2,근력 /닫힌사슬운동 /능동,보통,고관절&골반|무릎,스텝박스,근력,계단이나 발판에 올라섭니다. 운동할 다리는 두고 반대 다리를 계단 바깥쪽으로 두세요. 서 있는 다리의 무릎을 굽혀 바깥쪽 다리를 내려줍니다. 무릎이 발가락을 넘지 않는 곳까지 굽혔다가 다시 무릎을 펴 바깥쪽 다리를 올려줍니다. 서 있는 다리가 일직선을 유지하면서 허벅지의 힘이 들어 오는 것을 느끼며 동작을 반복하도록 합니다. 상체는 바르게 세워주세요. 일정횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/600/MG/6246db094a992960f0b45f44f5bfb03c.mp4
고관절 굽힘 1,관절 움직임 /열린사슬운동 /수동,매우 쉬움,고관절&골반,매트,관절 움직임,바로 누운자세에서 다리 사이 넓이는 골반 넓이만큼 벌려 둡니다. 양팔로 운동할 대퇴를 잡아서 가슴쪽으로 당겨주세요. 고관절 굽힘이 가능한 부분까지 당겨준 상태에서 유지해주세요. 고관절의 움직임을 만들어주는 동작입니다. 일정 시간 유지한 후 처음 자세로 돌아가 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/3/MG/0edd1b603a84a676be98636198bc62b2.mp4
고관절 굽힘 2,관절 움직임 /열린사슬운동 /수동,매우 쉬움,고관절&골반,매트,관절 움직임,"바로 누운자세에서 운동할 다리의 고관절과 무릎을 손에 잡히는 곳까지 가져와 주세요, 정강이 부분을 손으로 감싸고 당겨줍니다. 고관절에서 스트레칭이 느껴지는 지점에서 자세를 유지해주세요. 일정 시간 유지한 후 처음 자세로 돌아가 운동을 마무리합니다.",https://resources.mora.kr/static/exercise/media/4/MG/6f890b9e1ba02b9cd7a4d4d4229b4bc2.mp4
고관절 굽힘 3,관절 움직임 /열린사슬운동 /수동,매우 쉬움,고관절&골반,매트,관절 움직임,무릎을 편 상태로 바로 누운 상태에서 고관절과 무릎을 손에 잡히는 곳까지 굽혀줍니다. 정강이 부분을 손으로 감싸 고관절 부위가 스트레칭 되는 느낌이 드는 곳 까지 당겨 준 뒤 부드럽게 다리를 위아래로 움직여 고관절의 움직임을 만들어 줍니다. 고관절이 부드러워 지는 느낌이 들면 흔드는 폭을 늘려주세요. 일정횟수 동작을 반복한 후 처음 자세로 돌아가 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/5/MG/19831e71145f91bc1f6f810a69521829.mp4
고관절 굽힘 4,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,천장을 바라보고 눕습니다. 한쪽 다리 무릎을 굽힌 후 고관절을 굽혀 다리를 바닥에서 띄워줍니다. 무릎은 굽힌 상태를 유지하고 고관절만 펴 다리를 바닥쪽으로 내렸다가 다시 고관절을 굽혀 다리를 가슴쪽으로 당겨줍니다. 다리를 올릴 때 호흡을 뱉어주시고 동작 도중 골반과 체간이 흔들리지 않게 주의하세요. 일정횟수 동작을 반복하여 준 다음 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/11/MG/8ed6a93f5552cae186e025219d8080c2.mp4
고관절 굽힘근 스트레칭,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,고관절&골반,"매트|  
스텝박스",관절 움직임,스트레칭 할 다리를 뒤로 두어 발판 위에 올려 주고 반대 다리를 앞으로 둡니다. 몸을 앞으로 보내면서 뒤에 둔 다리의 고관절이 펴지도록 합니다. 골반과 허벅지 앞쪽에서 스트레칭 되는 것을 느낄 수 있습니다. 자극이 오는 지점까지 간 다음 엉덩이를 반듯이 앞으로 밀어주면서 고관절굽힘근을 스트레칭해줍니다. 허리가 꺾이지 않도록 주의하세요. 일정 시간 유지 후 천천히 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/531/MG/84130d0eb1d0a385d431f1c421cbad74.mp4
고관절 굽힘근 스트레칭 2,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,고관절&골반|허리,"쿠션|  
의자",관절 움직임,두 개의 의자를 마주 두고 그 사이에서 스트레칭할 다리는 뒤로 반대 다리는 앞으로 두어 자세를 잡습니다. 뒤로 둔 다리의 무릎 밑에는 쿠션을 대주어 무릎에 무리가 되지 않도록 해주세요. 양손은 의자에 얹고 앞에 둔 발을 한 걸음 앞으로 보내 뒤의 허벅지 앞쪽이 스트레칭 되도록 해주세요. 팔을 머리 위로 올려 반대쪽으로 뻗으면 스트레칭의 강도가 올라갑니다. 허리가 꺾이지 않도록 주의하세요. 일정 시간 유지 후 천천히 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/593/MG/d6c89d4960e1596036d4a2a6762501df.mp4
고관절 내회전 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,다리를 펴고 바로 누운자세에서 운동 할 다리의 발목을 세웁니다. 뒤꿈치는 바닥에 붙인 채 다리를 가능한 범위까지 안쪽으로 돌립니다. 무릎은 계속 펴져 있어야 합니다. 고관절의 내회전을 하는 동작입니다. 움직임 중에 골반이나 허리가 크게 움직이지 않도록 주의하세요. 일정 횟수 반복 후 편안한 자세로 돌아와 운동을 마무리 합니다.,https://resources.mora.kr/static/exercise/media/38/MG/eca03962de9236e1da81757b5d237794.mp4
고관절 모으고 두 다리들기,근력 /열린사슬운동 /능동,쉬움,고관절&골반,"매트|  
쿠션",근력,무릎 사이에 쿠션을 두고 다리를 굽혀 누워주세요. 코어에 힘을 주고 양 무릎을 조여 쿠션을 잡은 뒤 다리를 들어주세요. 허리와 골반이 꺾이지 않게 주의합니다. 안쪽 허벅지와 하복부에 힘이 들어오는 것을 느껴주세요. 일정 시간 유지 후 천천히 다리를 내려 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/432/MG/9d067adede4c5dadf543b0efb4e2f117.mp4
고관절 모으고 브릿지,근력 /닫힌사슬운동 /능동,보통,고관절&골반,"매트|  
쿠션",근력,무릎 사이에 쿠션을 두고 다리를 굽혀 눕습니다. 쿠션이 떨어지지 않게 양 무릎으로 잡아주고 발바닥으로 바닥을 밀어 엉덩이를 들어주세요. 코어에 힘을 주어 허리와 골반이 꺾이지 않고 몸과 무릎이 일직선이 될 때까지 올려 줍니다. 허벅지 뒷부분과 엉덩이에서 힘이 들어오는 것을 느껴주세요. 일정 시간 자세를 유지한 후 천천히 엉덩이를 내려 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/430/MG/844368bbb727791ea535d6d60f3e97e4.mp4
고관절 모으고 브릿지 2,근력 /닫힌사슬운동 /능동,보통,고관절&골반,"매트|  
쿠션",근력,무릎 사이에 쿠션을 두고 다리를 굽혀 눕습니다. 쿠션이 떨어지지 않게 양 무릎으로 잡아주고 발바닥으로 바닥을 밀어 엉덩이를 들었다가 바닥에 닿기 직전까지 내려주세요. 코어에 힘을 주어 허리와 골반이 꺾이지 않도록 하고 몸과 무릎이 일직선이 될 때까지 올려 줍니다. 허벅지 뒷부분과 엉덩이에서 힘이 들어오는 것을 느껴주세요. 일정횟수 반복 후 천천히 엉덩이를 내려 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/431/MG/ac0fd9aec4f0ea5b05b17c2df29237cc.mp4
고관절 모음근 스트레칭,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,무릎을 굽히고 선 자세에서 스트레칭 할 다리를 앞으로 내딛습니다. 양쪽 팔꿈치는 앞으로 내딘 발 안쪽으로 바닥을 향해 놓습니다. 앞쪽 다리의 무릎의 위치는 발과 일직선을 이루도록 해주세요. 엉덩이를 앞쪽과 아래쪽으로 내립니다. 허벅지 안쪽의 스트레칭을 느껴주세요. 일정 시간 유지 후 시작자세로 돌아와 마무리 합니다.,https://resources.mora.kr/static/exercise/media/154/MG/7e8b3f5f95c53cbd8efe18d8eac72bbb.mp4
고관절 벌림 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,다리를 펴고 천장을 바라보고 눕습니다. 운동할 쪽 다리를 편안한 범위 안에서 최대한 옆으로 벌려줍니다. 보낸 다리를 다시 모아줍니다. 모아줄 때에는 반대쪽 다리까지 가지 않도록 주의합니다. 중둔근을 사용해 고관절의 벌림 움직임을 만들어 주는 동작입니다. 일정 횟수 반복 후 시작자세로 돌아와 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/37/MG/51df6da238c515e7467b69b91381f341.mp4
